state,sat_participation_2017,total_score_2017,sat_participation_2018,total_score_2018,sat_participation_2019,total_score_2019
Alabama,0.05,1165,0.06,1166,0.07,1143
Alaska,0.38,1080,0.43,1106,0.41,1097
Arizona,0.3,1116,0.29,1149,0.31,1134
Arkansas,0.03,1208,0.05,1169,0.06,1141
California,0.53,1055,0.6,1076,0.63,1065
Colorado,0.11,1201,1.0,1025,1.0,1024
Connecticut,1.0,1041,1.0,1053,1.0,1046
Delaware,1.0,996,1.0,998,1.0,985
District of Columbia,1.0,950,0.92,977,0.94,975
Florida,0.83,1017,0.56,1099,1.0,999
Georgia,0.61,1050,0.7,1064,0.71,1058
Hawaii,0.55,1085,0.56,1010,0.54,1100
Idaho,0.93,1005,1.0,1001,1.0,993
Illinois,0.09,1115,0.99,1019,1.0,1013
Indiana,0.63,1074,0.63,1074,0.66,1080
Iowa,0.02,1275,0.03,1265,0.03,1244
Kansas,0.04,1260,0.04,1265,0.04,1241
Kentucky,0.04,1247,0.04,1248,0.04,1232
Louisiana,0.04,1198,0.04,1210,0.05,1200
Maine,0.95,1012,0.99,1013,0.99,1013
Maryland,0.69,1060,0.76,1080,0.82,1058
Massachusetts,0.76,1107,0.8,1125,0.81,1120
Michigan,1.0,1005,1.0,1011,1.0,1003
Minnesota,0.03,1295,0.04,1298,0.04,1284
Mississippi,0.02,1242,0.03,1236,0.03,1237
Missouri,0.03,1271,0.04,1262,0.04,1236
Montana,0.1,1196,0.1,1198,0.09,1199
Nebraska,0.03,1253,0.03,1252,0.03,1260
Nevada,0.26,1116,0.23,1140,0.2,1156
New Hampshire,0.96,1052,0.96,1063,0.95,1059
New Jersey,0.7,1056,0.82,1094,0.82,1090
New Mexico,0.11,1138,0.16,1093,0.18,1073
New York,0.67,1052,0.79,1068,0.79,1064
North Carolina,0.49,1081,0.52,1098,0.51,1100
North Dakota,0.02,1256,0.02,1283,0.02,1263
Ohio,0.12,1149,0.18,1099,0.19,1097
Oklahoma,0.07,1047,0.08,1062,0.22,963
Oregon,0.43,1108,0.48,1117,0.51,1112
Pennsylvania,0.65,1071,0.7,1086,0.7,1082
Rhode Island,0.71,1062,0.97,1018,1.0,995
South Carolina,0.5,1064,0.55,1070,0.68,1030
South Dakota,0.03,1216,0.03,1240,0.03,1268
Tennessee,0.05,1228,0.06,1231,0.07,1220
Texas,0.62,1020,0.66,1032,0.68,1022
Utah,0.03,1238,0.04,1010,0.04,1230
Vermont,0.6,1114,0.64,1120,0.66,1106
Virginia,0.65,1102,0.68,1117,0.68,1119
Washington,0.64,1075,0.69,1081,0.7,1074
West Virginia,0.14,1086,0.28,999,0.99,943
Wisconsin,0.03,1291,0.03,1294,0.03,1283
Wyoming,0.03,1230,0.03,1257,0.03,1238
